City,Latitude,Longitude,Max Temperature,Humidity,Cloud Coverage,Windspeed,Country,City Date Time,Weather Description
louis trichardt,-23.0439,29.9032,40.3,76.0,76.0,9.82,ZA,2021-07-24 04:54:36,few clouds
guerrero negro,27.9769,-114.0611,69.78,84.0,84.0,14.0,MX,2021-07-24 04:50:05,broken clouds
praya,14.9215,-23.5087,75.74,69.0,69.0,6.91,CV,2021-07-24 04:54:37,broken clouds
portland,45.5234,-122.6762,76.44,57.0,57.0,1.01,US,2021-07-24 04:53:07,clear sky
avera,33.194,-82.5271,78.71,70.0,70.0,7.09,US,2021-07-24 04:54:37,clear sky
gatesville,31.4352,-97.7439,82.35,74.0,74.0,5.75,US,2021-07-24 04:54:38,clear sky
kragero,58.8693,9.4149,64.15,66.0,66.0,2.53,NO,2021-07-24 04:54:38,clear sky
umzimvubu,,,,,,,,,
ostrovnoy,68.0531,39.5131,43.48,95.0,95.0,26.75,RU,2021-07-24 04:54:39,overcast clouds
dingle,10.9995,122.6711,86.68,68.0,68.0,20.42,PH,2021-07-24 04:54:39,overcast clouds
tuktoyaktuk,69.4541,-133.0374,57.2,62.0,62.0,13.8,CA,2021-07-24 04:54:40,broken clouds
general pico,-35.6566,-63.7568,46.89,58.0,58.0,11.43,AR,2021-07-24 04:54:40,overcast clouds
alofi,-19.0595,-169.9187,78.69,83.0,83.0,8.05,NU,2021-07-24 04:54:40,few clouds
orsha,54.5153,30.4053,62.71,79.0,79.0,7.34,BY,2021-07-24 04:54:41,clear sky
putol,13.9922,120.7275,76.48,89.0,89.0,16.96,PH,2021-07-24 04:54:41,moderate rain
yenagoa,4.9247,6.2642,73.72,89.0,89.0,3.78,NG,2021-07-24 04:54:42,overcast clouds
novo oriente,-5.5344,-40.7742,73.13,55.0,55.0,7.23,BR,2021-07-24 04:54:42,broken clouds
tiarei,-17.5333,-149.3333,78.82,66.0,66.0,9.4,PF,2021-07-24 04:54:42,clear sky
shenjiamen,29.9576,122.298,76.55,94.0,94.0,35.93,CN,2021-07-24 04:54:43,moderate rain
kraksaan,-7.7585,113.3962,87.89,48.0,48.0,5.97,ID,2021-07-24 04:54:43,clear sky
tayga,56.06,85.6197,77.25,61.0,61.0,3.09,RU,2021-07-24 04:54:43,overcast clouds
egvekinot,66.3167,-179.1667,47.57,89.0,89.0,5.77,RU,2021-07-24 04:54:44,overcast clouds
sangar,63.9242,127.4739,72.75,56.0,56.0,4.94,RU,2021-07-24 04:54:44,overcast clouds
kulu,39.0951,33.0799,66.2,52.0,52.0,12.86,TR,2021-07-24 04:54:45,clear sky
norman wells,65.282,-126.8329,60.84,67.0,67.0,0.0,CA,2021-07-24 04:54:45,broken clouds
ruteng,-8.6136,120.4721,76.64,41.0,41.0,2.53,ID,2021-07-24 04:54:45,scattered clouds
merauke,-8.4667,140.3333,81.43,69.0,69.0,14.58,ID,2021-07-24 04:54:46,overcast clouds
lavrentiya,65.5833,-171.0,51.55,74.0,74.0,7.47,RU,2021-07-24 04:54:46,scattered clouds
coracora,-15.0333,-73.7833,46.56,52.0,52.0,1.03,PE,2021-07-24 04:54:46,clear sky
muscat,23.6139,58.5922,95.94,51.0,51.0,3.83,OM,2021-07-24 04:54:47,scattered clouds
mezen,65.8522,44.24,43.68,88.0,88.0,10.74,RU,2021-07-24 04:54:47,overcast clouds
homer,59.6425,-151.5483,62.08,78.0,78.0,6.91,US,2021-07-24 04:51:21,overcast clouds
barentsburg,,,,,,,,,
kidal,18.4411,1.4078,82.67,57.0,57.0,18.39,ML,2021-07-24 04:54:48,overcast clouds
lar gerd,,,,,,,,,
banda aceh,5.5577,95.3222,87.48,66.0,66.0,15.08,ID,2021-07-24 04:53:15,overcast clouds
gamba,-2.65,10.0,68.94,86.0,86.0,1.01,GA,2021-07-24 04:54:49,broken clouds
vostok,46.4856,135.8833,89.87,44.0,44.0,6.62,RU,2021-07-24 04:54:49,overcast clouds
san cristobal,7.7669,-72.225,65.82,98.0,98.0,3.27,VE,2021-07-24 04:54:49,overcast clouds
maragogi,-9.0122,-35.2225,73.96,77.0,77.0,10.8,BR,2021-07-24 04:54:50,scattered clouds
doka,13.5167,35.7667,70.99,94.0,94.0,10.87,SD,2021-07-24 04:54:50,overcast clouds
alyangula,-13.8483,136.4192,84.07,61.0,61.0,9.22,AU,2021-07-24 04:54:50,clear sky
mareeba,-17.0,145.4333,91.44,30.0,30.0,5.93,AU,2021-07-24 04:54:51,clear sky
priladozhskiy,59.85,31.4833,61.54,1.0,1.0,7.2,RU,2021-07-24 04:54:51,broken clouds
gigmoto,13.7796,124.39,87.42,70.0,70.0,18.77,PH,2021-07-24 04:54:52,overcast clouds
lorengau,-2.0226,147.2712,83.8,78.0,78.0,9.8,PG,2021-07-24 04:54:52,overcast clouds
hovd,48.0056,91.6419,82.67,23.0,23.0,0.56,MN,2021-07-24 04:54:52,clear sky
santiago del estero,-27.7951,-64.2615,66.15,38.0,38.0,9.42,AR,2021-07-24 04:54:53,clear sky
bambous virieux,-20.3428,57.7575,74.21,94.0,94.0,6.91,MU,2021-07-24 04:54:53,broken clouds
jatai,-17.8814,-51.7144,64.33,55.0,55.0,7.14,BR,2021-07-24 04:54:53,clear sky
yulara,-25.2406,130.9889,66.04,27.0,27.0,10.36,AU,2021-07-24 04:54:54,broken clouds
scarborough,54.2797,-0.4044,59.85,81.0,81.0,1.01,GB,2021-07-24 04:54:54,overcast clouds
gizeh,30.0081,31.2109,79.54,39.0,39.0,9.37,EG,2021-07-24 04:54:54,clear sky
myskhako,44.6714,37.7433,71.38,50.0,50.0,9.4,RU,2021-07-24 04:54:55,clear sky
vila,42.0304,-8.1588,53.33,86.0,86.0,1.81,PT,2021-07-24 04:54:55,few clouds
harduaganj,27.95,78.1667,93.74,55.0,55.0,8.19,IN,2021-07-24 04:54:56,overcast clouds
kyshtovka,56.555,76.6271,78.94,58.0,58.0,5.66,RU,2021-07-24 04:54:56,scattered clouds
sortland,68.6949,15.4162,52.36,98.0,98.0,7.43,NO,2021-07-24 04:54:56,overcast clouds
chavakkad,10.5333,76.05,81.77,80.0,80.0,11.23,IN,2021-07-24 04:54:57,moderate rain
pangody,65.85,74.4859,60.98,61.0,61.0,8.03,RU,2021-07-24 04:54:57,overcast clouds
kopavogur,64.1123,-21.913,55.31,88.0,88.0,13.8,IS,2021-07-24 04:54:57,light intensity drizzle
aizawl,23.7333,92.7167,75.0,83.0,83.0,3.44,IN,2021-07-24 04:54:58,mist
san miguel,13.4833,-88.1833,80.28,64.0,64.0,2.17,SV,2021-07-24 04:53:10,overcast clouds
ahumada,,,,,,,,,
ambovombe,-25.1667,46.0833,64.56,55.0,55.0,9.26,MG,2021-07-24 04:54:59,overcast clouds
poronaysk,49.2167,143.1167,69.73,89.0,89.0,8.77,RU,2021-07-24 04:54:59,overcast clouds
bilibino,68.0546,166.4372,62.76,41.0,41.0,12.1,RU,2021-07-24 04:54:59,overcast clouds
ilulissat,69.2167,-51.1,36.32,82.0,82.0,8.46,GL,2021-07-24 04:55:00,overcast clouds
kavieng,-2.5744,150.7967,85.35,69.0,69.0,13.73,PG,2021-07-24 04:55:00,overcast clouds
burnie,-41.0667,145.9167,47.91,82.0,82.0,14.85,AU,2021-07-24 04:55:00,overcast clouds
matagami,49.7502,-77.6328,57.31,77.0,77.0,3.44,CA,2021-07-24 04:55:01,clear sky
verkhnevilyuysk,63.4453,120.3167,80.15,34.0,34.0,6.87,RU,2021-07-24 04:55:01,broken clouds
buluang,13.3068,123.3425,84.74,80.0,80.0,17.47,PH,2021-07-24 04:55:01,heavy intensity rain
ketchenery,,,,,,,,,
maniitsoq,65.4167,-52.9,41.31,96.0,96.0,3.65,GL,2021-07-24 04:55:02,light rain
tilichiki,60.4667,166.1,58.3,76.0,76.0,8.75,RU,2021-07-24 04:55:02,broken clouds
vardo,70.3705,31.1107,46.47,82.0,82.0,36.04,NO,2021-07-24 04:55:03,overcast clouds
kasongo-lunda,-6.4667,16.8167,61.38,43.0,43.0,1.05,CD,2021-07-24 04:55:03,scattered clouds
ketrzyn,54.0768,21.3753,61.43,90.0,90.0,4.88,PL,2021-07-24 04:55:04,few clouds
rawlins,41.7911,-107.2387,75.09,26.0,26.0,10.36,US,2021-07-24 04:52:32,clear sky
ondangwa,-17.9167,15.95,44.6,23.0,23.0,5.75,NA,2021-07-24 04:55:04,clear sky
ostersund,63.1792,14.6357,54.61,93.0,93.0,6.91,SE,2021-07-24 04:55:04,scattered clouds
kungalv,57.871,11.9805,58.86,94.0,94.0,4.0,SE,2021-07-24 04:55:05,few clouds
college,64.8569,-147.8028,66.29,88.0,88.0,0.0,US,2021-07-24 04:55:05,light rain
laguna,38.421,-121.4238,89.44,44.0,44.0,5.75,US,2021-07-24 04:55:06,clear sky
jaffna,9.6685,80.0074,84.67,74.0,74.0,21.52,LK,2021-07-24 04:55:06,overcast clouds
semibratovo,57.3046,39.5369,55.26,73.0,73.0,6.76,RU,2021-07-24 04:55:06,overcast clouds
corowa,-36.0333,146.3833,50.32,94.0,94.0,14.79,AU,2021-07-24 04:55:07,overcast clouds
santa isabel do rio negro,-0.4139,-65.0192,72.05,99.0,99.0,0.87,BR,2021-07-24 04:55:07,overcast clouds
tual,-5.6667,132.75,79.48,79.0,79.0,9.1,ID,2021-07-24 04:55:07,overcast clouds
gat,31.61,34.7642,79.92,100.0,100.0,10.07,IL,2021-07-24 04:55:08,broken clouds
clyde river,70.4692,-68.5914,32.23,93.0,93.0,4.61,CA,2021-07-24 04:55:08,clear sky
zeya,53.75,127.2667,73.96,93.0,93.0,6.02,RU,2021-07-24 04:55:09,light rain
khatanga,71.9667,102.5,62.37,45.0,45.0,10.38,RU,2021-07-24 04:55:09,overcast clouds
palmer,42.1584,-72.3287,63.03,86.0,86.0,0.0,US,2021-07-24 04:55:09,clear sky
fort abbas,29.1925,72.8536,97.61,43.0,43.0,3.58,PK,2021-07-24 04:55:10,scattered clouds
mocambique,,,,,,,,,
narsaq,60.9167,-46.05,45.16,77.0,77.0,2.86,GL,2021-07-24 04:55:10,broken clouds
saryozek,44.3583,77.9753,90.43,16.0,16.0,5.23,KZ,2021-07-24 04:55:11,clear sky
karlshamn,56.1706,14.8619,66.69,78.0,78.0,5.7,SE,2021-07-24 04:55:11,overcast clouds
tessalit,20.1986,1.0114,85.82,40.0,40.0,12.77,ML,2021-07-24 04:55:11,broken clouds
port lincoln,-34.7333,135.8667,52.83,74.0,74.0,37.38,AU,2021-07-24 04:55:12,broken clouds
auki,-8.7676,160.7034,84.61,69.0,69.0,0.29,SB,2021-07-24 04:55:12,scattered clouds
port-cartier,50.0334,-66.8654,57.74,87.0,87.0,4.34,CA,2021-07-24 04:55:12,broken clouds
andros town,24.7,-77.7667,82.36,74.0,74.0,9.82,BS,2021-07-24 04:55:13,overcast clouds
comodoro rivadavia,-45.8667,-67.5,44.46,53.0,53.0,20.71,AR,2021-07-24 04:55:13,clear sky
balabac,7.9868,117.0645,86.79,70.0,70.0,15.46,PH,2021-07-24 04:55:13,broken clouds
davila,18.4726,120.5763,80.58,90.0,90.0,27.38,PH,2021-07-24 04:55:14,heavy intensity rain
katsuura,35.1333,140.3,91.51,69.0,69.0,10.02,JP,2021-07-24 04:55:14,few clouds
severo-kurilsk,50.6789,156.125,57.38,91.0,91.0,6.31,RU,2021-07-24 04:55:15,broken clouds
camacha,33.0833,-16.3333,66.96,83.0,83.0,11.5,PT,2021-07-24 04:55:15,few clouds
sisimiut,66.9395,-53.6735,36.05,94.0,94.0,15.46,GL,2021-07-24 04:55:15,light rain
port-gentil,-0.7193,8.7815,74.77,78.0,78.0,8.77,GA,2021-07-24 04:55:16,overcast clouds
miranorte,,,,,,,,,
mayna,54.1135,47.6231,63.7,62.0,62.0,10.56,RU,2021-07-24 04:55:16,few clouds
birkeland,58.3309,8.2323,54.95,94.0,94.0,5.75,NO,2021-07-24 04:55:17,few clouds
geraldton,-28.7667,114.6,64.81,68.0,68.0,3.44,AU,2021-07-24 04:55:17,overcast clouds
carnot,4.9409,15.8665,66.29,98.0,98.0,2.53,CF,2021-07-24 04:55:17,scattered clouds
wanning,18.8003,110.3967,85.93,77.0,77.0,7.72,CN,2021-07-24 04:55:18,scattered clouds
seriate,45.6834,9.7229,75.94,78.0,78.0,3.44,IT,2021-07-24 04:55:18,clear sky
kinna,57.5073,12.6946,59.23,77.0,77.0,3.02,SE,2021-07-24 04:55:18,clear sky
knokke-heist,51.3333,3.3333,63.19,81.0,81.0,3.0,BE,2021-07-24 04:55:19,overcast clouds
chifeng,42.2683,118.9636,89.92,44.0,44.0,9.17,CN,2021-07-24 04:55:19,overcast clouds
morondava,-20.2833,44.2833,67.32,60.0,60.0,18.07,MG,2021-07-24 04:55:20,clear sky
kaohsiung,22.6163,120.3133,89.55,74.0,74.0,15.01,TW,2021-07-24 04:55:20,broken clouds
aksarayskiy,46.7924,48.0119,76.98,41.0,41.0,10.18,RU,2021-07-24 04:55:20,clear sky
zholymbet,51.7433,71.7122,83.75,24.0,24.0,6.89,KZ,2021-07-24 04:55:21,clear sky
kalomo,,,,,,,,,
krasnyy chikoy,50.3643,108.7512,73.31,46.0,46.0,6.31,RU,2021-07-24 04:55:21,few clouds
derzhavinsk,51.1,66.3167,90.88,20.0,20.0,12.15,KZ,2021-07-24 04:55:22,overcast clouds
xuddur,4.1213,43.8894,72.57,64.0,64.0,23.35,SO,2021-07-24 04:55:22,overcast clouds
youghal,51.95,-7.8506,62.58,99.0,99.0,7.63,IE,2021-07-24 04:55:22,broken clouds
estrella,15.75,121.0333,80.29,88.0,88.0,6.04,PH,2021-07-24 04:55:23,light rain
katobu,-4.9408,122.5276,86.49,50.0,50.0,7.07,ID,2021-07-24 04:55:23,scattered clouds
cosmesti,45.8702,27.3112,68.54,60.0,60.0,8.84,RO,2021-07-24 04:55:23,few clouds
henties bay,-22.116,14.2845,66.4,20.0,20.0,18.88,NA,2021-07-24 04:55:24,few clouds
isiro,2.7739,27.616,67.24,95.0,95.0,2.62,CD,2021-07-24 04:55:24,light rain
mikhaylovka,50.06,43.2379,72.27,45.0,45.0,6.73,RU,2021-07-24 04:55:26,clear sky
marquette,46.5333,-87.6335,71.78,93.0,93.0,9.93,US,2021-07-24 04:55:26,very heavy rain
bay roberts,47.5999,-53.2648,59.23,98.0,98.0,1.99,CA,2021-07-24 04:55:26,light rain
rosa zarate,0.3333,-79.4667,70.65,95.0,95.0,2.08,EC,2021-07-24 04:55:27,light rain
karaul,,,,,,,,,
saleaula,,,,,,,,,
husavik,66.0449,-17.3389,60.71,86.0,86.0,12.37,IS,2021-07-24 04:55:27,overcast clouds
camocim,-2.9022,-40.8411,77.36,78.0,78.0,11.16,BR,2021-07-24 04:55:28,scattered clouds
bonavista,48.6499,-53.1147,56.12,98.0,98.0,6.55,CA,2021-07-24 04:55:28,overcast clouds
petrivka,46.9695,30.9591,68.45,57.0,57.0,7.43,UA,2021-07-24 04:55:28,clear sky
alexandria,31.2156,29.9553,78.76,69.0,69.0,11.5,EG,2021-07-24 04:55:29,scattered clouds
provideniya,64.3833,-173.3,52.97,80.0,80.0,7.7,RU,2021-07-24 04:55:29,overcast clouds
bargal,,,,,,,,,
meadville,41.6414,-80.1515,67.23,85.0,85.0,3.94,US,2021-07-24 04:55:30,broken clouds
roald,62.5833,6.1333,59.32,94.0,94.0,3.44,NO,2021-07-24 04:55:30,clear sky
bastia,42.6667,9.3333,74.3,81.0,81.0,3.44,FR,2021-07-24 04:55:30,clear sky
almunecar,36.7339,-3.6907,86.43,72.0,72.0,5.93,ES,2021-07-24 04:55:31,few clouds
kokopo,-4.352,152.2633,85.82,65.0,65.0,10.31,PG,2021-07-24 04:55:31,broken clouds
kargasok,59.0556,80.8572,80.06,44.0,44.0,7.14,RU,2021-07-24 04:55:33,clear sky
flinders,-34.5833,150.8552,64.2,51.0,51.0,13.0,AU,2021-07-24 04:55:33,scattered clouds
acuna,,,,,,,,,
kimberley,-28.7323,24.7623,26.29,68.0,68.0,2.3,ZA,2021-07-24 04:55:34,clear sky
kuche,,,,,,,,,
cordoba,-31.4135,-64.1811,61.75,44.0,44.0,1.01,AR,2021-07-24 04:53:39,clear sky
ankazoabo,-22.2833,44.5167,60.06,66.0,66.0,17.27,MG,2021-07-24 04:55:34,scattered clouds
solano,38.2333,-121.9511,70.95,60.0,60.0,21.85,US,2021-07-24 04:55:35,clear sky
duekoue,6.7472,-7.3496,67.08,100.0,100.0,2.17,CI,2021-07-24 04:55:35,broken clouds
aklavik,68.2191,-135.0107,68.72,39.0,39.0,5.82,CA,2021-07-24 04:55:22,broken clouds
ono,34.85,134.9333,94.48,47.0,47.0,6.91,JP,2021-07-24 04:55:36,broken clouds
san policarpo,12.1791,125.5072,91.35,53.0,53.0,13.49,PH,2021-07-24 04:55:36,broken clouds
ayan,56.45,138.1667,59.18,90.0,90.0,11.59,RU,2021-07-24 04:55:36,broken clouds
valparaiso,-33.0393,-71.6273,53.47,78.0,78.0,6.91,CL,2021-07-24 04:55:28,overcast clouds
snina,48.9886,22.151,66.36,76.0,76.0,1.28,SK,2021-07-24 04:55:37,broken clouds
shingu,33.7333,135.9833,85.19,67.0,67.0,6.4,JP,2021-07-24 04:55:37,overcast clouds
san quintin,30.4833,-115.95,68.88,85.0,85.0,8.14,MX,2021-07-24 04:55:38,broken clouds
pisco,-13.7,-76.2167,62.65,77.0,77.0,11.5,PE,2021-07-24 04:55:38,overcast clouds
dong hoi,17.4833,106.6,81.34,73.0,73.0,18.7,VN,2021-07-24 04:55:38,overcast clouds
smithers,54.7804,-127.1743,57.52,88.0,88.0,0.0,CA,2021-07-24 04:51:46,broken clouds
salekhard,66.53,66.6019,64.26,50.0,50.0,8.95,RU,2021-07-24 04:51:30,scattered clouds
vestmanna,62.1564,-7.1664,49.12,100.0,100.0,3.44,FO,2021-07-24 04:55:39,few clouds
kilinochchi,9.3961,80.3982,87.91,59.0,59.0,18.79,LK,2021-07-24 04:55:39,overcast clouds
senmonorom,,,,,,,,,
santa cruz,-17.8,-63.1667,69.26,83.0,83.0,6.91,BO,2021-07-24 04:52:53,clear sky
the pas,53.8251,-101.2541,66.22,63.0,63.0,10.92,CA,2021-07-24 04:55:40,broken clouds
rundu,-17.9333,19.7667,39.33,22.0,22.0,6.69,NA,2021-07-24 04:55:41,clear sky
balen,51.1684,5.1717,62.53,95.0,95.0,5.75,BE,2021-07-24 04:55:41,overcast clouds
monastyrshchina,54.3496,31.838,61.09,79.0,79.0,2.15,RU,2021-07-24 04:55:41,scattered clouds
bowmore,34.9421,-79.3031,76.69,87.0,87.0,5.5,US,2021-07-24 04:55:42,clear sky
angoche,-16.2325,39.9086,71.87,64.0,64.0,18.9,MZ,2021-07-24 04:55:42,overcast clouds
las vegas,36.175,-115.1372,99.34,29.0,29.0,8.99,US,2021-07-24 04:49:41,broken clouds
bani,18.2833,-70.3333,79.75,79.0,79.0,8.57,DO,2021-07-24 04:55:43,scattered clouds
hanna,51.6334,-111.9018,63.91,54.0,54.0,5.01,CA,2021-07-24 04:55:43,clear sky
mitu,1.1983,-70.1733,70.81,99.0,99.0,2.46,CO,2021-07-24 04:55:43,overcast clouds
kapit,2.0167,112.9333,89.98,63.0,63.0,3.69,MY,2021-07-24 04:55:44,broken clouds
ilorin,8.5,4.55,70.66,86.0,86.0,8.03,NG,2021-07-24 04:55:44,overcast clouds
cameta,-2.2444,-49.4958,76.35,80.0,80.0,5.48,BR,2021-07-24 04:55:44,scattered clouds
hambantota,6.1241,81.1185,84.54,84.0,84.0,18.41,LK,2021-07-24 04:55:45,broken clouds
dundee,56.5,-2.9667,58.17,88.0,88.0,1.14,GB,2021-07-24 04:55:45,overcast clouds
alice town,25.7167,-79.3,83.68,74.0,74.0,12.01,BS,2021-07-24 04:55:46,overcast clouds
sorong,-0.8833,131.25,79.41,78.0,78.0,10.47,ID,2021-07-24 04:55:46,overcast clouds
kantunilkin,21.0917,-87.45,81.95,98.0,98.0,1.81,MX,2021-07-24 04:55:46,overcast clouds
launceston,-41.45,147.1667,47.84,90.0,90.0,5.01,AU,2021-07-24 04:55:47,light intensity shower rain
formoso do araguaia,,,,,,,,,
krasnoselkup,65.7,82.4667,67.05,56.0,56.0,10.63,RU,2021-07-24 04:55:47,overcast clouds
puerto colombia,10.9878,-74.9547,80.69,89.0,89.0,15.3,CO,2021-07-24 04:55:48,overcast clouds
proddatur,14.7333,78.55,85.69,54.0,54.0,20.6,IN,2021-07-24 04:55:48,overcast clouds
novyy urengoy,66.0833,76.6333,60.3,60.0,60.0,10.96,RU,2021-07-24 04:55:48,overcast clouds
talaya,61.3833,152.75,58.17,80.0,80.0,1.88,RU,2021-07-24 04:55:49,overcast clouds
calabozo,8.9242,-67.4293,73.44,98.0,98.0,2.26,VE,2021-07-24 04:55:49,overcast clouds
rodez,44.5,2.5833,64.08,88.0,88.0,8.05,FR,2021-07-24 04:55:49,overcast clouds
madaoua,14.073,5.96,77.94,76.0,76.0,12.1,NE,2021-07-24 04:55:50,broken clouds
klyuchi,52.2667,79.1667,73.0,63.0,63.0,1.83,RU,2021-07-24 04:55:50,overcast clouds
shubarshi,48.5872,57.1869,75.97,58.0,58.0,7.65,KZ,2021-07-24 04:55:50,overcast clouds
tonantins,-2.8731,-67.8022,76.24,82.0,82.0,2.77,BR,2021-07-24 04:55:51,overcast clouds
terney,45.0503,136.6092,81.09,75.0,75.0,6.87,RU,2021-07-24 04:55:51,broken clouds
nikolayevskaya,47.6139,41.5023,74.55,42.0,42.0,7.18,RU,2021-07-24 04:55:52,clear sky
umm kaddadah,13.6017,26.6876,83.52,53.0,53.0,7.09,SD,2021-07-24 04:55:52,overcast clouds
santa maria,-29.6842,-53.8069,57.87,75.0,75.0,2.98,BR,2021-07-24 04:55:52,clear sky
sentyabrskiy,,,,,,,,,
shache,38.4167,77.2406,90.9,23.0,23.0,5.1,CN,2021-07-24 04:55:53,clear sky
inongo,-1.95,18.2667,65.95,74.0,74.0,4.0,CD,2021-07-24 04:55:53,clear sky
dongsheng,39.8161,109.9776,80.47,41.0,41.0,16.91,CN,2021-07-24 04:55:54,clear sky
channel-port aux basques,47.5702,-59.1367,56.25,89.0,89.0,11.34,CA,2021-07-24 04:55:54,overcast clouds
saint-francois,46.4154,3.9054,66.47,99.0,99.0,11.5,FR,2021-07-24 04:55:54,overcast clouds
lahij,13.1667,44.5833,82.15,60.0,60.0,5.46,YE,2021-07-24 04:55:55,overcast clouds
kununurra,-15.7667,128.7333,93.18,21.0,21.0,9.22,AU,2021-07-24 04:55:55,broken clouds
barra,-11.0894,-43.1417,70.16,64.0,64.0,9.48,BR,2021-07-24 04:55:55,scattered clouds
nanchong,30.7951,106.0847,90.14,58.0,58.0,3.76,CN,2021-07-24 04:55:56,moderate rain
charters towers,-20.1,146.2667,80.13,27.0,27.0,7.09,AU,2021-07-24 04:55:56,clear sky
coquimbo,-29.9533,-71.3436,53.33,82.0,82.0,4.61,CL,2021-07-24 04:55:57,overcast clouds
mahajanga,-15.7167,46.3167,66.22,68.0,68.0,3.44,MG,2021-07-24 04:55:57,scattered clouds
silopi,37.2497,42.4694,92.14,14.0,14.0,4.59,TR,2021-07-24 04:55:57,clear sky
puerto del rosario,28.5004,-13.8627,74.95,69.0,69.0,14.97,ES,2021-07-24 04:55:58,overcast clouds
awbari,26.5921,12.7805,75.04,32.0,32.0,8.93,LY,2021-07-24 04:55:58,clear sky
sokoto,13.0609,5.239,75.2,84.0,84.0,9.33,NG,2021-07-24 04:55:58,light rain
ulaangom,49.9811,92.0667,79.2,46.0,46.0,9.86,MN,2021-07-24 04:55:59,scattered clouds
saint-augustin,51.226,-58.6502,48.52,94.0,94.0,10.29,CA,2021-07-24 04:55:59,overcast clouds
tazovskiy,67.4667,78.7,53.73,72.0,72.0,15.73,RU,2021-07-24 04:56:00,overcast clouds
bilma,18.6853,12.9164,85.77,50.0,50.0,12.64,NE,2021-07-24 04:56:00,scattered clouds
vila do maio,15.1333,-23.2167,75.99,71.0,71.0,10.4,CV,2021-07-24 04:56:00,broken clouds
ketchikan,55.3422,-131.6461,54.59,98.0,98.0,3.31,US,2021-07-24 04:56:01,moderate rain
nargana,9.4428,-78.5906,79.77,85.0,85.0,6.67,PA,2021-07-24 04:56:01,overcast clouds
veraval,20.9,70.3667,83.73,82.0,82.0,19.64,IN,2021-07-24 04:56:01,overcast clouds
parati,-23.2178,-44.7131,62.11,61.0,61.0,3.33,BR,2021-07-24 04:56:02,clear sky
the valley,18.217,-63.0578,81.1,82.0,82.0,23.6,AI,2021-07-24 04:56:02,clear sky
mama,58.3106,112.8986,77.67,45.0,45.0,8.1,RU,2021-07-24 04:56:02,scattered clouds
kainantu,-6.2887,145.8655,65.48,92.0,92.0,3.65,PG,2021-07-24 04:56:03,overcast clouds
cabinda,-5.55,12.2,68.22,90.0,90.0,2.46,AO,2021-07-24 04:56:03,few clouds
rawson,-43.3002,-65.1023,44.51,44.0,44.0,8.99,AR,2021-07-24 04:56:03,few clouds
kilgore,32.3863,-94.8758,81.45,89.0,89.0,0.0,US,2021-07-24 04:46:44,clear sky
kalmunai,7.4167,81.8167,90.07,49.0,49.0,6.85,LK,2021-07-24 04:56:04,broken clouds
shenandoah,30.4013,-91.0009,81.14,93.0,93.0,4.76,US,2021-07-24 04:56:04,few clouds
mumford,5.2618,-0.759,74.55,80.0,80.0,8.43,GH,2021-07-24 04:56:05,scattered clouds
hervey bay,-25.2986,152.8535,77.11,56.0,56.0,9.01,AU,2021-07-24 04:56:02,few clouds
karaidel,55.8337,56.9069,69.42,54.0,54.0,4.29,RU,2021-07-24 04:56:05,scattered clouds
alenquer,-1.9417,-54.7383,75.54,70.0,70.0,4.09,BR,2021-07-24 04:56:06,overcast clouds
harper,4.375,-7.7169,75.34,74.0,74.0,6.44,LR,2021-07-24 04:56:06,overcast clouds
wajima,37.4,136.9,81.28,89.0,89.0,5.75,JP,2021-07-24 04:56:06,broken clouds
dombarovskiy,50.7587,59.5386,73.9,62.0,62.0,10.22,RU,2021-07-24 04:56:07,overcast clouds
kars,40.602,43.095,63.45,57.0,57.0,4.47,TR,2021-07-24 04:56:07,clear sky
kamenka,51.3223,42.7678,69.06,52.0,52.0,8.01,RU,2021-07-24 04:56:07,clear sky
ciras,,,,,,,,,
bundaberg,-24.85,152.35,77.29,61.0,61.0,8.01,AU,2021-07-24 04:56:08,scattered clouds
rio grande,-32.035,-52.0986,59.25,86.0,86.0,4.9,BR,2021-07-24 04:56:08,light rain
mudyuga,,,,,,,,,
karasburg,-28.0167,18.75,37.71,26.0,26.0,14.76,NA,2021-07-24 04:56:09,clear sky
mrirt,,,,,,,,,
trat,12.5,102.5,86.2,86.0,86.0,13.02,TH,2021-07-24 04:56:09,light rain
karauzyak,,,,,,,,,
el alto,-4.2714,-81.2147,63.93,81.0,81.0,11.01,PE,2021-07-24 04:56:10,scattered clouds
alotau,,,,,,,,,
southaven,34.989,-90.0126,77.97,92.0,92.0,3.0,US,2021-07-24 04:56:11,clear sky
wairoa,-39.0333,177.3667,52.61,81.0,81.0,4.0,NZ,2021-07-24 04:56:11,broken clouds
corralillo,22.9819,-80.5856,78.24,83.0,83.0,6.4,CU,2021-07-24 04:56:11,overcast clouds
awka,6.2101,7.0741,75.61,95.0,95.0,2.35,NG,2021-07-24 04:56:12,overcast clouds
atasu,48.6814,71.6433,87.35,23.0,23.0,1.66,KZ,2021-07-24 04:56:12,clear sky
bajil,15.0584,43.2851,85.84,62.0,62.0,2.01,YE,2021-07-24 04:56:12,overcast clouds
meulaboh,4.1363,96.1285,85.19,66.0,66.0,2.98,ID,2021-07-24 04:56:13,overcast clouds
mecca,21.4267,39.8261,91.42,29.0,29.0,9.13,SA,2021-07-24 04:53:20,broken clouds
